Machine,Shift,Operator,Date,Cable Failures,Cable Failure Downtime,Other Failures,Other Failure Downtime
3,B,16,11/13/2020,2,35,0,0
3,A,6,11/21/2020,1,25,0,0
11,A,23,11/15/2020,0,0,1,30
2,B,7,11/21/2020,1,40,0,0
2,A,3,11/13/2020,4,70,1,60
15,B,26,11/17/2020,1,30,0,0
7,A,9,11/17/2020,2,40,0,0
2,B,3,11/16/2020,3,80,0,0
1,A,1,11/21/2020,2,85,0,0
7,B,14,11/21/2020,1,55,0,0
1,A,1,11/20/2020,2,175,0,0
10,B,24,11/15/2020,0,0,1,105
8,A,7,11/21/2020,0,0,1,690
1,A,1,11/17/2020,0,0,1,30
7,B,14,11/16/2020,1,30,0,0
7,B,14,11/20/2020,0,0,2,90
2,B,3,11/19/2020,1,15,0,0
5,B,14,11/10/2020,1,50,0,0
2,B,3,11/6/2020,2,40,2,110
2,A,2,11/7/2020,5,120,1,80
11,B,20,11/14/2020,0,0,9,155
6,A,12,11/17/2020,0,0,1,45
1,B,21,11/19/2020,1,30,0,0
6,B,12,11/10/2020,0,0,0,0
2,A,3,11/22/2020,5,50,0,0
8,B,13,11/21/2020,0,0,1,80
2,A,30,11/20/2020,1,30,0,0
3,B,10,11/17/2020,0,0,1,50
2,B,6,11/12/2020,0,0,1,480
15,B,26,11/22/2020,1,30,0,0
1,A,1,11/14/2020,1,10,0,0
4,B,5,11/13/2020,1,30,0,0
8,B,13,11/19/2020,1,75,1,480
3,B,16,11/15/2020,1,15,1,15
9,A,18,11/21/2020,0,0,1,70
11,B,20,11/13/2020,0,0,1,20
2,A,1,11/14/2020,2,50,0,0
3,B,8,11/20/2020,0,0,1,30
2,B,7,11/10/2020,2,30,0,0
12,A,22,11/14/2020,0,0,1,60
8,B,13,11/21/2020,2,65,1,130
2,A,30,11/19/2020,4,90,0,0
1,B,21,11/20/2020,1,10,0,0
3,A,8,11/14/2020,0,0,1,35
2,A,7,11/15/2020,1,20,0,0
3,A,6,11/8/2020,1,30,0,0
7,A,13,11/10/2020,2,100,0,0
9,A,18,11/12/2020,0,0,1,80
6,A,12,11/16/2020,0,0,1,30
